"GSM","file","group"
"GSM959867","GSM959867_AD1_Nonlesional_Pla138_Canine_2.CEL.gz","NLAD"
"GSM959868","GSM959868_AD2_Nonlesional_Pla171_Canine_2.CEL.gz","NLAD"
"GSM959869","GSM959869_AD3_Nonlesional_Pla173_Canine_2.CEL.gz","NLAD"
"GSM959870","GSM959870_AD4_Nonlesional_Pla136_Canine_2.CEL.gz","NLAD"
"GSM959871","GSM959871_AD5_Nonlesional_Pla152_Canine_2.CEL.gz","NLAD"
"GSM959872","GSM959872_AD6_Nonlesional_Pla159_Canine_2.CEL.gz","NLAD"
"GSM959873","GSM959873_AD7_Nonlesional_Pla149_Canine_2.CEL.gz","NLAD"
"GSM959874","GSM959874_AD8_Nonlesional_Pla146_Canine_2.CEL.gz","NLAD"
"GSM959875","GSM959875_AD9_Nonlesional_Pla162_Canine_2.CEL.gz","NLAD"
"GSM959876","GSM959876_AD10_Nonlesional_Pla143_Canine_2.CEL.gz","NLAD"
"GSM959877","GSM959877_AD11_Nonlesional_Pla167_Canine_2.CEL.gz","NLAD"
"GSM959878","GSM959878_AD12_Nonlesional_Pla155_Canine_2.CEL.gz","NLAD"
"GSM959879","GSM959879_AD13_Nonlesional_Pla169_Canine_2.CEL.gz","NLAD"
"GSM959880","GSM959880_AD1_Lesional_Pla139_Canine_2.CEL.gz","ALAD"
"GSM959881","GSM959881_AD2_Lesional_Pla172_Canine_2.CEL.gz","ALAD"
"GSM959882","GSM959882_AD3_Lesional_Pla174_Canine_2.CEL.gz","ALAD"
"GSM959883","GSM959883_AD4_Lesional_Pla137_Canine_2.CEL.gz","ALAD"
"GSM959884","GSM959884_AD5_Lesional_Pla153_Canine_2.CEL.gz","ALAD"
"GSM959885","GSM959885_AD6_Lesional_Pla160_Canine_2.CEL.gz","ALAD"
"GSM959886","GSM959886_AD7_Lesional_Pla150_Canine_2.CEL.gz","ALAD"
"GSM959887","GSM959887_AD8_Lesional_Pla147_Canine_2.CEL.gz","ALAD"
"GSM959888","GSM959888_AD9_Lesional_Pla163_Canine_2.CEL.gz","ALAD"
"GSM959889","GSM959889_AD10_Lesional_Pla144_Canine_2.CEL.gz","ALAD"
"GSM959890","GSM959890_AD11_Lesional_Pla168_Canine_2.CEL.gz","ALAD"
"GSM959891","GSM959891_AD12_Lesional_Pla156_Canine_2.CEL.gz","ALAD"
"GSM959892","GSM959892_AD13_Lesional_Pla170_Canine_2.CEL.gz","ALAD"
"GSM959893","GSM959893_NORMAL1_Pla140_Canine_2.CEL.gz","Healthy"
"GSM959894","GSM959894_NORMAL2_Pla141_Canine_2.CEL.gz","Healthy"
"GSM959895","GSM959895_NORMAL3_Pla151_Canine_2.CEL.gz","Healthy"
"GSM959896","GSM959896_NORMAL4_Pla157_Canine_2.CEL.gz","Healthy"
"GSM959897","GSM959897_NORMAL5_Pla158_Canine_2.CEL.gz","Healthy"
"GSM959898","GSM959898_NORMAL6_Pla148_Canine_2.CEL.gz","Healthy"
"GSM959899","GSM959899_NORMAL7_Pla145_Canine_2.CEL.gz","Healthy"
"GSM959900","GSM959900_NORMAL8_Pla161_Canine_2.CEL.gz","Healthy"
"GSM959901","GSM959901_NORMAL9_Pla142_Canine_2.CEL.gz","Healthy"
"GSM959902","GSM959902_NORMAL10_Pla154_Canine_2.CEL.gz","Healthy"
"GSM959903","GSM959903_NORMAL11_Pla164_Canine_2.CEL.gz","Healthy"
"GSM959904","GSM959904_NORMAL12_Pla165_Canine_2.CEL.gz","Healthy"
"GSM959905","GSM959905_NORMAL13_Pla166_Canine_2.CEL.gz","Healthy"
